Metric,,Violation Rate (%),Violation Rate (%),Violation Rate (%),Max Violation (mm),Max Violation (mm),Max Violation (mm),SFC Volume (m3),SFC Volume (m3),SFC Volume (m3),Total Violations,Total Violations,Total Violations
Method,,Baseline,Heuristic,Certified,Baseline,Heuristic,Certified,Baseline,Heuristic,Certified,Baseline,Heuristic,Certified
Env,Sigma,,,,,,,,,,,,
office0,1e-5,48.148229822040754,31.554136691562757,0.5443439290130734,0.604318,0.56356,0.109545,46.14417600000001,39.45924000000001,10.739384000000001,283842.0,186017.0,3209.0
office0,1e-6,21.156132902019788,11.792195984170093,0.5090608074067414,0.384187,0.32249,0.107703,42.33079200000001,38.10578400000001,10.938424000000001,124719.0,69517.0,3001.0
office1,1e-5,35.31147238698178,34.38642859338025,0.06099189847922138,0.40694,0.379473,0.082462,23.150312000000003,22.971432000000004,3.7953440000000005,149370.0,145457.0,258.0
office1,1e-6,11.146151245724067,10.584458413217748,0.2728087242055096,0.172047,0.172047,0.093808,21.877560000000003,21.837728000000002,4.172224000000001,47149.0,44773.0,1154.0
office2,1e-5,51.50514253636346,7.63000758190731,0.0809435573004683,0.52,0.311769,0.141421,77.51371200000001,31.266656000000005,6.173952000000001,442235.0,65513.0,695.0
office2,1e-6,23.807887745844216,2.0193961727090937,0.1481441796923679,0.212603,0.253772,0.1,68.67541600000001,31.133048000000006,6.223160000000001,204420.0,17339.0,1272.0
office3,1e-5,54.66086560978486,4.661034081911148,0.02274373704870529,0.671118,0.429418,0.1,110.86435200000003,41.97810400000001,4.963112000000001,648901.0,55333.0,270.0
office3,1e-6,28.242330306450796,1.492663038900214,0.03681115959364523,0.330454,0.226274,0.072111,96.89633600000002,41.444736000000006,5.975432000000001,335276.0,17720.0,437.0
office4,1e-5,48.34684111306253,10.082496817749705,0.05377600180461789,0.636867,0.366606,0.066333,99.71230400000002,51.45768000000001,14.337104000000002,480088.0,100120.0,534.0
office4,1e-6,20.953909736880266,3.8891932391279824,0.10543721702141373,0.26,0.215407,0.069282,90.92140000000002,50.87398400000001,14.375736000000002,208074.0,38620.0,1047.0
room0,1e-5,62.028806946522344,9.249422729577619,2.425897755036187,0.990757,0.428486,0.12,105.43356800000002,28.646408000000005,31.504864000000005,592060.0,88285.0,23155.0
room0,1e-6,34.3674960083479,3.1552909820092783,3.2362764695775343,0.335261,0.244131,0.164924,90.86995200000001,27.615416000000003,32.90778400000001,328035.0,30117.0,30890.0
room1,1e-5,48.148911251843494,20.882803108230366,0.014871915626665344,0.604649,0.384708,0.1,53.76264000000001,34.50162400000001,6.601560000000001,310807.0,134801.0,96.0
room1,1e-6,17.494330082167334,8.769937661886997,0.019209557684442737,0.24,0.169706,0.072111,47.64708800000001,33.122096000000006,6.894936000000001,112928.0,56611.0,124.0
room2,1e-5,47.492858091947916,16.31538444503499,0.05190340154132341,0.59397,0.435431,0.082462,63.57642400000001,38.671304000000006,4.475912000000001,343134.0,117878.0,375.0
room2,1e-6,21.944619762600762,5.1384367525910175,0.04387567543626539,0.29189,0.2,0.066333,56.81126400000001,37.78844800000001,9.509176000000002,158549.0,37125.0,317.0
